header,poolingSize,filterSize,numFilter,denseNode,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11
54,4,5,32 64,512,0.9369,0.9813,0.9858,0.9874,0.9891,0.9908,0.9912,0.9925,0.9933,0.9938,0.9944,0.9942,0.9856,0.9902,0.9910,0.9925,0.9927,0.9918,0.9931,0.9924,0.9923,0.9936,0.9937,0.9939
55,4,5,32 64,128,0.9088,0.9703,0.9775,0.9808,0.9828,0.9844,0.9866,0.9863,0.9883,0.9888,0.9893,0.9900,0.9833,0.9877,0.9903,0.9911,0.9901,0.9902,0.9923,0.9921,0.9930,0.9934,0.9925,0.9927
56,4,5,32 64,256,0.9234,0.9769,0.9830,0.9852,0.9871,0.9891,0.9896,0.9909,0.9911,0.9920,0.9930,0.9931,0.9842,0.9897,0.9914,0.9913,0.9918,0.9924,0.9924,0.9937,0.9933,0.9934,0.9937,0.9925
57,4,5,32 64,512,0.9355,0.9802,0.9854,0.9872,0.9890,0.9904,0.9918,0.9927,0.9932,0.9936,0.9939,0.9948,0.9837,0.9893,0.9904,0.9913,0.9927,0.9921,0.9937,0.9929,0.9914,0.9934,0.9933,0.9933
58,4,5,64 64,128,0.9156,0.9738,0.9789,0.9822,0.9854,0.9853,0.9869,0.9880,0.9885,0.9891,0.9898,0.9907,0.9818,0.9891,0.9879,0.9903,0.9897,0.9911,0.9922,0.9924,0.9916,0.9912,0.9920,0.9924
59,4,5,64 64,256,0.9236,0.9775,0.9819,0.9859,0.9877,0.9887,0.9894,0.9907,0.9921,0.9914,0.9929,0.9932,0.9855,0.9897,0.9907,0.9927,0.9917,0.9917,0.9925,0.9932,0.9932,0.9924,0.9932,0.9937
60,4,5,64 64,512,0.9381,0.9801,0.9855,0.9879,0.9895,0.9909,0.9920,0.9928,0.9935,0.9942,0.9940,0.9950,0.9855,0.9895,0.9894,0.9928,0.9912,0.9918,0.9929,0.9925,0.9933,0.9937,0.9929,0.9935
61,4,7,32 32,128,0.8918,0.9666,0.9732,0.9778,0.9806,0.9816,0.9839,0.9839,0.9848,0.9859,0.9873,0.9866,0.9787,0.9860,0.9867,0.9883,0.9897,0.9909,0.9906,0.9905,0.9917,0.9926,0.9920,0.9927
62,4,7,32 32,256,0.9101,0.9730,0.9789,0.9818,0.9842,0.9851,0.9872,0.9879,0.9883,0.9893,0.9902,0.9903,0.9814,0.9870,0.9876,0.9908,0.9900,0.9914,0.9915,0.9906,0.9918,0.9918,0.9920,0.9924
63,4,7,32 32,512,0.9266,0.9774,0.9819,0.9854,0.9872,0.9886,0.9895,0.9908,0.9910,0.9915,0.9925,0.9932,0.9839,0.9881,0.9911,0.9918,0.9924,0.9918,0.9928,0.9914,0.9924,0.9926,0.9928,0.9929
64,4,7,32 64,128,0.8973,0.9696,0.9774,0.9798,0.9820,0.9830,0.9849,0.9863,0.9872,0.9875,0.9892,0.9892,0.9821,0.9887,0.9889,0.9903,0.9905,0.9906,0.9906,0.9924,0.9926,0.9934,0.9934,0.9930
65,4,7,32 64,256,0.9236,0.9767,0.9818,0.9843,0.9870,0.9885,0.9892,0.9904,0.9905,0.9919,0.9926,0.9923,0.9820,0.9879,0.9899,0.9918,0.9901,0.9912,0.9927,0.9924,0.9919,0.9915,0.9932,0.9928
66,4,7,32 64,512,0.9341,0.9790,0.9859,0.9877,0.9889,0.9905,0.9916,0.9921,0.9928,0.9934,0.9940,0.9948,0.9856,0.9900,0.9903,0.9923,0.9900,0.9935,0.9932,0.9913,0.9930,0.9934,0.9941,0.9935
67,4,7,32 64,128,0.9060,0.9695,0.9768,0.9803,0.9827,0.9848,0.9867,0.9869,0.9887,0.9882,0.9893,0.9901,0.9822,0.9891,0.9894,0.9895,0.9899,0.9927,0.9928,0.9915,0.9921,0.9930,0.9935,0.9931
68,4,7,32 64,256,0.9247,0.9767,0.9822,0.9849,0.9874,0.9885,0.9891,0.9906,0.9916,0.9918,0.9927,0.9924,0.9823,0.9892,0.9900,0.9890,0.9909,0.9912,0.9911,0.9924,0.9919,0.9928,0.9937,0.9932
69,4,7,32 64,512,0.9319,0.9800,0.9850,0.9871,0.9893,0.9907,0.9915,0.9922,0.9927,0.9940,0.9951,0.9948,0.9842,0.9893,0.9893,0.9910,0.9914,0.9922,0.9915,0.9928,0.9933,0.9919,0.9929,0.9923
70,4,7,64 64,128,0.9117,0.9705,0.9780,0.9801,0.9822,0.9845,0.9865,0.9871,0.9877,0.9878,0.9893,0.9896,0.9829,0.9871,0.9888,0.9901,0.9917,0.9908,0.9917,0.9930,0.9929,0.9929,0.9930,0.9927
71,4,7,64 64,256,0.9284,0.9780,0.9827,0.9864,0.9881,0.9888,0.9897,0.9911,0.9923,0.9921,0.9930,0.9932,0.9854,0.9899,0.9885,0.9908,0.9899,0.9923,0.9912,0.9938,0.9940,0.9932,0.9937,0.9919
72,4,7,64 64,512,0.9396,0.9808,0.9859,0.9882,0.9895,0.9912,0.9921,0.9929,0.9934,0.9941,0.9942,0.9943,0.9854,0.9892,0.9861,0.9929,0.9919,0.9938,0.9932,0.9934,0.9936,0.9925,0.9938,0.9936
73,8,3,32 32,128,0.8006,0.9376,0.9522,0.9595,0.9641,0.9673,0.9701,0.9706,0.9736,0.9742,0.9745,0.9769,0.9689,0.9799,0.9823,0.9839,0.9853,0.9870,0.9874,0.9888,0.9881,0.9885,0.9898,0.9889
74,8,3,32 32,256,0.8429,0.9493,0.9636,0.9700,0.9727,0.9756,0.9784,0.9787,0.9806,0.9801,0.9812,0.9817,0.9725,0.9817,0.9850,0.9881,0.9906,0.9898,0.9911,0.9913,0.9907,0.9915,0.9917,0.9922
75,8,3,32 32,512,0.8757,0.9589,0.9680,0.9721,0.9771,0.9786,0.9811,0.9808,0.9838,0.9827,0.9853,0.9853,0.9772,0.9842,0.9865,0.9886,0.9893,0.9900,0.9904,0.9914,0.9905,0.9920,0.9907,0.9913
76,8,3,32 64,128,0.8464,0.9540,0.9643,0.9705,0.9728,0.9757,0.9779,0.9804,0.9801,0.9818,0.9824,0.9836,0.9739,0.9826,0.9855,0.9862,0.9891,0.9883,0.9898,0.9898,0.9905,0.9915,0.9899,0.9922
77,8,3,32 64,256,0.8742,0.9625,0.9708,0.9761,0.9789,0.9804,0.9826,0.9844,0.9856,0.9866,0.9866,0.9866,0.9788,0.9849,0.9873,0.9878,0.9884,0.9904,0.9909,0.9920,0.9922,0.9915,0.9922,0.9925
78,8,3,32 64,512,0.8913,0.9680,0.9778,0.9796,0.9832,0.9848,0.9855,0.9867,0.9882,0.9892,0.9891,0.9903,0.9808,0.9858,0.9876,0.9890,0.9905,0.9901,0.9907,0.9919,0.9916,0.9919,0.9927,0.9927
79,8,3,32 64,128,0.8527,0.9568,0.9659,0.9709,0.9750,0.9760,0.9783,0.9801,0.9815,0.9820,0.9826,0.9842,0.9731,0.9838,0.9839,0.9876,0.9885,0.9898,0.9906,0.9916,0.9904,0.9919,0.9924,0.9928
80,8,3,32 64,256,0.8727,0.9641,0.9723,0.9772,0.9808,0.9822,0.9836,0.9843,0.9855,0.9871,0.9870,0.9882,0.9815,0.9854,0.9887,0.9910,0.9891,0.9911,0.9917,0.9918,0.9922,0.9925,0.9925,0.9936
81,8,3,32 64,512,0.8911,0.9679,0.9763,0.9796,0.9821,0.9847,0.9849,0.9868,0.9879,0.9883,0.9895,0.9899,0.9805,0.9850,0.9869,0.9899,0.9903,0.9905,0.9917,0.9923,0.9922,0.9934,0.9930,0.9918
82,8,3,64 64,128,0.8538,0.9561,0.9651,0.9724,0.9743,0.9772,0.9800,0.9807,0.9809,0.9826,0.9823,0.9835,0.9775,0.9844,0.9851,0.9870,0.9879,0.9895,0.9901,0.9913,0.9915,0.9912,0.9921,0.9922
83,8,3,64 64,256,0.8805,0.9637,0.9725,0.9774,0.9798,0.9821,0.9836,0.9841,0.9855,0.9863,0.9869,0.9876,0.9805,0.9857,0.9879,0.9902,0.9900,0.9905,0.9918,0.9920,0.9922,0.9921,0.9928,0.9935
84,8,3,64 64,512,0.8947,0.9698,0.9763,0.9812,0.9836,0.9837,0.9862,0.9870,0.9880,0.9892,0.9892,0.9900,0.9811,0.9886,0.9875,0.9903,0.9913,0.9912,0.9931,0.9923,0.9920,0.9929,0.9932,0.9938
85,8,5,32 32,128,0.8080,0.9392,0.9554,0.9595,0.9638,0.9670,0.9707,0.9712,0.9742,0.9744,0.9750,0.9754,0.9703,0.9801,0.9837,0.9849,0.9853,0.9881,0.9876,0.9888,0.9897,0.9900,0.9908,0.9897
86,8,5,32 32,256,0.8447,0.9530,0.9620,0.9672,0.9712,0.9740,0.9763,0.9766,0.9782,0.9799,0.9803,0.9811,0.9738,0.9850,0.9850,0.9876,0.9884,0.9908,0.9893,0.9893,0.9902,0.9904,0.9915,0.9899
87,8,5,32 32,512,0.8652,0.9573,0.9669,0.9716,0.9753,0.9777,0.9788,0.9806,0.9824,0.9827,0.9842,0.9851,0.9760,0.9837,0.9865,0.9877,0.9900,0.9903,0.9902,0.9925,0.9921,0.9921,0.9902,0.9920
88,8,5,32 64,128,0.8464,0.9544,0.9640,0.9705,0.9743,0.9757,0.9774,0.9795,0.9808,0.9820,0.9822,0.9829,0.9723,0.9819,0.9871,0.9858,0.9880,0.9880,0.9903,0.9899,0.9904,0.9910,0.9921,0.9891
89,8,5,32 64,256,0.8684,0.9622,0.9719,0.9761,0.9789,0.9814,0.9828,0.9841,0.9858,0.9854,0.9869,0.9875,0.9788,0.9841,0.9874,0.9898,0.9894,0.9920,0.9901,0.9909,0.9917,0.9918,0.9938,0.9930
90,8,5,32 64,512,0.8921,0.9691,0.9754,0.9796,0.9825,0.9850,0.9862,0.9870,0.9887,0.9886,0.9898,0.9905,0.9809,0.9870,0.9885,0.9894,0.9912,0.9909,0.9917,0.9929,0.9927,0.9928,0.9943,0.9934
91,8,5,32 64,128,0.8461,0.9535,0.9650,0.9715,0.9749,0.9771,0.9795,0.9802,0.9809,0.9828,0.9833,0.9841,0.9739,0.9834,0.9861,0.9880,0.9897,0.9896,0.9911,0.9890,0.9915,0.9922,0.9916,0.9929
92,8,5,32 64,256,0.8691,0.9608,0.9701,0.9760,0.9781,0.9804,0.9827,0.9834,0.9851,0.9860,0.9866,0.9873,0.9776,0.9843,0.9882,0.9876,0.9895,0.9895,0.9917,0.9914,0.9924,0.9924,0.9930,0.9930
93,8,5,32 64,512,0.8912,0.9676,0.9763,0.9805,0.9828,0.9842,0.9865,0.9869,0.9881,0.9889,0.9899,0.9901,0.9786,0.9862,0.9885,0.9903,0.9906,0.9923,0.9919,0.9927,0.9939,0.9931,0.9928,0.9927
94,8,5,64 64,128,0.8560,0.9577,0.9680,0.9715,0.9752,0.9777,0.9805,0.9808,0.9819,0.9832,0.9837,0.9844,0.9780,0.9843,0.9875,0.9901,0.9897,0.9898,0.9918,0.9917,0.9913,0.9922,0.9929,0.9918
95,8,5,64 64,256,0.8793,0.9647,0.9738,0.9778,0.9798,0.9830,0.9839,0.9844,0.9862,0.9864,0.9877,0.9875,0.9801,0.9847,0.9891,0.9880,0.9902,0.9908,0.9924,0.9885,0.9930,0.9935,0.9932,0.9929
96,8,5,64 64,512,0.8998,0.9695,0.9770,0.9809,0.9826,0.9851,0.9859,0.9877,0.9887,0.9882,0.9898,0.9899,0.9763,0.9868,0.9892,0.9898,0.9901,0.9918,0.9921,0.9915,0.9931,0.9938,0.9942,0.9925
97,8,7,32 32,128,0.8106,0.9390,0.9517,0.9603,0.9646,0.9680,0.9699,0.9711,0.9739,0.9731,0.9757,0.9771,0.9661,0.9800,0.9836,0.9858,0.9857,0.9867,0.9866,0.9894,0.9890,0.9900,0.9883,0.9900
98,8,7,32 32,256,0.8424,0.9517,0.9633,0.9685,0.9714,0.9748,0.9763,0.9783,0.9795,0.9799,0.9818,0.9822,0.9757,0.9828,0.9848,0.9886,0.9887,0.9904,0.9901,0.9902,0.9901,0.9906,0.9913,0.9919
99,8,7,32 32,512,0.8725,0.9586,0.9686,0.9743,0.9756,0.9784,0.9800,0.9811,0.9830,0.9843,0.9848,0.9855,0.9751,0.9833,0.9871,0.9883,0.9896,0.9900,0.9892,0.9912,0.9913,0.9916,0.9920,0.9911
100,8,7,32 64,128,0.8528,0.9537,0.9664,0.9702,0.9739,0.9749,0.9786,0.9789,0.9813,0.9816,0.9826,0.9836,0.9746,0.9836,0.9872,0.9880,0.9902,0.9895,0.9899,0.9902,0.9893,0.9919,0.9918,0.9911
101,8,7,32 64,256,0.8732,0.9625,0.9714,0.9759,0.9786,0.9805,0.9820,0.9830,0.9847,0.9856,0.9864,0.9869,0.9801,0.9841,0.9853,0.9895,0.9900,0.9899,0.9918,0.9906,0.9929,0.9924,0.9923,0.9923
102,8,7,32 64,512,0.8928,0.9673,0.9752,0.9800,0.9824,0.9833,0.9857,0.9867,0.9878,0.9887,0.9893,0.9896,0.9801,0.9837,0.9878,0.9888,0.9895,0.9909,0.9912,0.9917,0.9907,0.9919,0.9930,0.9925
103,8,7,32 64,128,0.8553,0.9554,0.9662,0.9710,0.9748,0.9780,0.9784,0.9805,0.9822,0.9822,0.9830,0.9847,0.9766,0.9815,0.9869,0.9874,0.9892,0.9882,0.9911,0.9909,0.9910,0.9917,0.9920,0.9928
104,8,7,32 64,256,0.8718,0.9621,0.9723,0.9762,0.9799,0.9812,0.9836,0.9838,0.9855,0.9857,0.9865,0.9878,0.9769,0.9839,0.9873,0.9890,0.9912,0.9906,0.9919,0.9918,0.9922,0.9921,0.9935,0.9930
105,8,7,32 64,512,0.8993,0.9681,0.9769,0.9805,0.9827,0.9844,0.9866,0.9867,0.9882,0.9888,0.9896,0.9903,0.9808,0.9846,0.9853,0.9888,0.9905,0.9915,0.9920,0.9920,0.9918,0.9930,0.9919,0.9940
106,8,7,64 64,128,0.8490,0.9528,0.9651,0.9694,0.9738,0.9761,0.9779,0.9797,0.9821,0.9823,0.9829,0.9837,0.9748,0.9835,0.9860,0.9883,0.9879,0.9890,0.9909,0.9909,0.9918,0.9918,0.9923,0.9909
107,8,7,64 64,256,0.8825,0.9641,0.9720,0.9767,0.9802,0.9820,0.9836,0.9842,0.9854,0.9862,0.9866,0.9879,0.9801,0.9848,0.9867,0.9897,0.9888,0.9900,0.9886,0.9906,0.9928,0.9890,0.9937,0.9926
108,8,7,64 64,512,0.8951,0.9681,0.9775,0.9807,0.9822,0.9843,0.9863,0.9875,0.9874,0.9883,0.9898,0.9896,0.9795,0.9828,0.9888,0.9896,0.9910,0.9917,0.9919,0.9914,0.9924,0.9930,0.9929,0.9931
