id,creator,type,material,date
0000679,Mitsunaga,beeldhouwwerk,hout,1672
0000680,Masayoshi Kitao,prent,papier,1775 -  1824
0000681,anoniem,beeldhouwwerk,hout,
0000682,Utagawa,boek,papier,1830 -  1840
0000683,Hokusai Katsushika,boek,papier,ca. 1800 - ca. 1815
0000684,Hokusai Katsushika,boek,papier,1815 -  1815
0000685,Hiroshige (I) Utagawa,boek,papier,ca. 1825 - ca. 1835
0000686,Hokusai Katsushika,boek,papier,1819 -  1819
0000687,Tatsu,schildering,papier,1700 -  1800
0000688,anoniem,schildering,papier,1790-01-01 -  1790-12-31
0000689,anoniem,schildering,zijde,1200 -  1300
0000690,anoniem,herenkleding,linnen,in of voor 1640 - in or before 1640
0000691,anoniem,herenkleding,linnen,in of voor 1640 - in or before 1640
0000692,anoniem,schotel,porselein,voor 1613 - before 1613
0000693,Smout John,herenkleding,zijde,1647 -  1647
0000694,anoniem,bord (vaatwerk),porselein,voor 1613 - before 1613
0000695,Oppenort Gilles Marie,tekening,papier,1682 -  1742
0000696,Natoire Charles Joseph,tekening,papier,1710 -  1777
0000697,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000698,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000699,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000700,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000701,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000702,anoniem,herenkleding,zijde,ca. 1600 - ca. 1699
0000703,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000704,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000705,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000706,Nicolle Victor Jean,tekening,papier,1787 -  1811
0000707,Portail Jacques André,tekening,papier,1740 -  1759
0000708,anoniem,kruik,steengoed,1594 -  1600
0000709,Pillement Jean Baptiste,tekening,papier,1770 -  1770
0000710,Pillement Jean Baptiste,tekening,papier,1770 -  1770
0000711,Pillement Jean Baptiste,tekening,papier,1770 -  1770
0000712,anoniem,kruik,steengoed,ca. 1530 - ca. 1570
0000713,Pillement Jean Baptiste,tekening,papier,1771 -  1771
0000714,Pillement Jean Baptiste,tekening,papier,1771 -  1771
0000715,Parrocel Charles,tekening,papier,ca. 1700 - ca. 1724
0000716,Parrocel Charles,tekening,papier,1735 -  1737
0000717,anoniem,kruik,steengoed,ca. 1520 - ca. 1560
0000718,anoniem,herenkleding,laken (materiaal),ca. 1800 - ca. 1825
0000719,Parrocel Charles,tekening,papier,1698 -  1752
0000720,Parrocel Charles,tekening,papier,1698 -  1752
0000721,Peyron Jean François Pierre,tekening,papier,1754 -  1814
0000722,anoniem,kruik,steengoed,ca. 1520 - ca. 1560
0000723,Peyron Jean François Pierre,tekening,papier,1754 -  1814
0000724,anoniem,kruik,steengoed,1530 -  1560
0000725,Pâris Pierre Adrien,tekening,papier,1760 -  1819
0000726,anoniem,ritueel object,been,-1600 -  -1000
0000727,anoniem,doos,zilver,618 -  907
0000728,anoniem,tafel,email,1400 -  1600
0000729,anoniem,ritueel object,jade,-1600 -  -1000
0000730,anoniem,cong,jade,-3000 -  -2000
0000731,anoniem,haarsieraad,koraal,960 -  1279
0000732,anoniem,schildering,zijde,1368 -  1644
0000733,Zhao Yongxian,schildering,zijde,1590 -  1590
0000734,anoniem,schildering,zijde,1368 -  1644
0000735,Chiang Ting,schildering,inkt,1772 -  1772
0000736,anoniem,blad,,1368 -  1644
0000737,anoniem,doos,lak,1736 -  1795
0000738,anoniem,schildering,zijde,1500 -  1800
0000739,anoniem,spatscherm,marmer,1700 -  1800
0000740,anoniem,schildering,zijde,1300 -  1400
0000741,anoniem,deurhengsel,brons,1368 -  1644
0000742,anoniem,beeldhouwwerk,jade,1775 -  1800
0000743,anoniem,kom,jade,ca. 1700 - ca. 1800
0000744,anoniem,beeldhouwwerk,jade,1700 -  1800
0000745,anoniem,fragment,leem,1300 -  1400
0000746,anoniem,vaas,steengoed,1300 -  1400
0000747,anoniem,kan,bergkristal,1700 -  1800
0000748,anoniem,doos,lak,1600 -  1699
0000749,anoniem,doos,lak,ca. 1600 - ca. 1699
0000750,anoniem,prent,papier,1600 -  1625
0000751,anoniem,prent,papier,1600 -  1625
0000752,anoniem,prent,papier,1600 -  1625
0000753,anoniem,prent,papier,1600 -  1625
0000754,anoniem,beeldhouwwerk,andesiet,800 -  900
0000755,anoniem,beeldhouwwerk,andesiet,600 -  930
0000756,anoniem,beeldhouwwerk,andesiet,800 -  800
0000757,anoniem,beeldhouwwerk,andesiet,ca. 800 - ca. 900
0000758,anoniem,beeldhouwwerk,andesiet,600 -  930
0000759,anoniem,beeldhouwwerk,andesiet,600 -  930
0000760,anoniem,beeldhouwwerk,andesiet,850 -  850
0000761,anoniem,beeldhouwwerk,andesiet,800 -  900
0000762,anoniem,beeldhouwwerk,andesiet,800 -  900
0000763,anoniem,beeldhouwwerk,andesiet,800 -  900
0000764,anoniem,beeldhouwwerk,andesiet,1450 -  1450
0000765,anoniem,beeldhouwwerk,andesiet,1450 -  1450
0000766,anoniem,beeldhouwwerk,brons,850 -  925
0000767,anoniem,beeldhouwwerk,brons,900 -  1200
0000768,anoniem,bel,brons,900 -  1600
0000769,anoniem,lamp,brons,930 -  1600
0000770,anoniem,lamp,brons,1300 -  1500
0000771,anoniem,lamp,brons,ca. 1300 - ca. 1500
0000772,anoniem,bel,brons,800 -  900
0000773,anoniem,offerblad,brons,930 -  1600
0000774,anoniem,offerblad,brons,1300 -  1500
0000775,anoniem,beeldhouwwerk,brons,800 -  850
0000776,anoniem,offerblad,brons,800 -  1000
0000777,anoniem,kris,ijzer,1600 -  1700
0000778,anoniem,masker,hout,ca. 1700 - ca. 1800
0000779,anoniem,sieraad,goud,1400 -  1500
0000780,anoniem,beeldhouwwerk,brons,870 -  930
0000781,anoniem,tabaksdoos,zilver,1859 -  1859
0000782,anoniem,beeldhouwwerk,zilver,850 -  930
0000783,anoniem,oorring,goud,1300 -  1400
0000784,anoniem,priesterschel,brons,930 -  1600
0000785,anoniem,spiegel,brons,1300 -  1400
0000786,anoniem,klok,brons,700 -  800
0000787,anoniem,spiegel,brons,930 -  1600
0000788,anoniem,beeldhouwwerk,brons,800 -  850
0000789,anoniem,beeldhouwwerk,brons,850 -  930
0000790,anoniem,beeldhouwwerk,brons,800 -  950
0000791,anoniem,beeldhouwwerk,brons,975 -  1025
0000792,anoniem,priesterschel,brons,1300 -  1600
0000793,anoniem,spiegel,brons,1300 -  1600
0000794,anoniem,spiegel,brons,1200 -  1500
0000795,anoniem,bel,brons,930 -  1600
0000796,anoniem,rinkelbel,brons,930 -  1500
0000797,anoniem,beeldhouwwerk,brons,600 -  800
0000798,anoniem,beeldhouwwerk,kalksteen,1300 -  1400
0000799,anoniem,beeldhouwwerk,andesiet,1425 -  1475
0000800,anoniem,beeldhouwwerk,terracotta,1300 -  1500
0000801,anoniem,schep,zilver,1300 -  1600
0000802,anoniem,beeldhouwwerk,terracotta,1300 -  1500
0000803,anoniem,beeldhouwwerk,andesiet,1350 -  1400
0000804,anoniem,beeldhouwwerk,andesiet,1350 -  1400
0000805,anoniem,spaarvarken,terracotta,ca. 1300 - ca. 1500
0000806,anoniem,beeldhouwwerk,terracotta,700 -  1200
0000807,anoniem,plaque,koper,1600 -  1699
0000808,anoniem,scepter,email,1700 -  1800
0000809,anoniem,figuur,ivoor,ca. 1680 - ca. 1720
0000810,anoniem,gordelpendant,jade,960 -  1279
0000811,Zhang Cheng,schaal (objectnaam),lak,1300 -  1400
0000812,Zhang Cheng,schaal (objectnaam),lak,1300 -  1400
0000813,anoniem,doos,lak,1500 -  1600
0000814,anoniem,beker,zilver,618 -  906
0000815,anoniem,schaal (objectnaam),porselein,ca. 1722 - ca. 1736
0000816,anoniem,fles,porselein,ca. 1635 - ca. 1645
0000817,anoniem,fles,porselein,ca. 1640 - ca. 1640
0000818,anoniem,schaal (objectnaam),porselein,ca. 1525 - ca. 1550
0000819,anoniem,kom,porselein,ca. 1575 - ca. 1600
0000820,anoniem,bord (vaatwerk),porselein,1800 -  1850
0000821,anoniem,schotel,porselein,ca. 1560 -  1580
0000822,anoniem,pot,porselein,ca. 1500 - ca. 1500
0000823,anoniem,waterdruppelaar,porselein,ca. 1625 - ca. 1650
0000824,anoniem,schenkkan,porselein,ca. 1400 - ca. 1425
0000825,anoniem,wijnkan,porselein,ca. 1550 - ca. 1600
0000826,anoniem,kom,porselein,1821 -  1850
0000827,anoniem,bord (vaatwerk),porselein,1723 -  1735
0000828,anoniem,vaas,porselein,ca. 1506 - ca. 1521
0000829,anoniem,kan,porselein,ca. 1400 - ca. 1425
0000830,anoniem,bord (vaatwerk),porselein,ca. 1300 - ca. 1300
0000831,anoniem,bord (vaatwerk),porselein,ca. 1300 - ca. 1300
0000832,anoniem,bord (vaatwerk),porselein,ca. 1300 - ca. 1300
0000833,anoniem,kop,porselein,ca. 1700 - ca. 1720
0000834,anoniem,kop,porselein,1662 -  1722
0000835,anoniem,kop,porselein,1662 -  1722
0000836,anoniem,kop,porselein,1662 -  1722
0000837,anoniem,kop,porselein,1662 -  1722
0000838,anoniem,kop,porselein,1662 -  1722
0000839,anoniem,kop,porselein,1662 -  1722
0000840,anoniem,kop,porselein,1662 -  1722
0000841,anoniem,kop,porselein,1662 -  1722
0000842,anoniem,kop,porselein,1662 -  1722
0000843,anoniem,kop,porselein,1662 -  1722
0000844,anoniem,kop,porselein,1662 -  1722
0000845,anoniem,vaas,porselein,ca. 1750 - ca. 1800
0000846,anoniem,pelgrimsfles,porselein,ca. 1750 - ca. 1800
0000847,anoniem,kendi,porselein,ca. 1575 - ca. 1600
0000848,anoniem,kendi,porselein,ca. 1475 - ca. 1525
0000849,anoniem,kapmes,staal,ca. 1500 - ca. 1700
0000850,anoniem,beeldhouwwerk,brons,900 -  1100
0000851,anoniem,beeldhouwwerk,brons,ca. 700 - ca. 800
0000852,anoniem,beeldhouwwerk,kalksteen,800 -  1000
0000853,anoniem,beeldhouwwerk,steen (materiaal),1000 -  1100
0000854,anoniem,beeldhouwwerk,brons,ca. 1000 - ca. 1100
0000855,anoniem,beeldhouwwerk,speksteen,750 -  825
0000856,anoniem,beeldhouwwerk,brons,700 -  900
0000857,anoniem,beeldhouwwerk,brons,ca. 1300 - ca. 1400
0000858,anoniem,pot,keramiek,1300 -  1600
0000859,anoniem,pot,keramiek,1200 -  1400
0000860,anoniem,kom,aardewerk,1500 -  1600
0000861,anoniem,kom,aardewerk,1000 -  1200
0000862,anoniem,kom,aardewerk,1000 -  1200
0000863,anoniem,pot,aardewerk,ca. -3000 - ca.
0000864,anoniem,beeldhouwwerk,steen (materiaal),1175 -  1300
0000865,anoniem,applique,brons,ca. -2000 - ca. -1000
0000866,anoniem,armband,brons,-2000 -  -1000
0000867,anoniem,armband,brons,-2000 -  -1000
0000868,anoniem,pot,glazuur,1400 -  1500
0000869,anoniem,schaal (objectnaam),porselein,1400 -  1500
0000870,anoniem,fles,aardewerk,1100 -  1300
0000871,anoniem,pot,aardewerk,1100 -  1300
0000872,anoniem,schildering,doek,1525 -  1525
0000873,anoniem,schildering,doek,ca. 1500 - ca. 1600
0000874,anoniem,beeldhouwwerk,brons,1700 -  1800
0000875,anoniem,beeldhouwwerk,hout,1700 -  1800
0000876,anoniem,beeldhouwwerk,leem,1700 -  1800
0000877,anoniem,beeldhouwwerk,brons,1700 -  1800
0000878,anoniem,schildering,doek,1600 -  1699
0000879,anoniem,schildering,katoen,1600 -  1699
0000880,anoniem,schildering,katoen,1700 -  1800
0000881,anoniem,beeld,brons,1500 -  1600
0000882,anoniem,beeldhouwwerk,brons,1500 -  1600
0000883,anoniem,beeldhouwwerk,hout,ca. 1700 - ca. 1800
0000884,anoniem,beeldhouwwerk,brons,ca. 1300 - ca. 1500
0000885,anoniem,doos,ijzer,1700 -  1800
0000886,anoniem,beeldhouwwerk,brons,1600 -  1699
0000887,anoniem,schildering,papier,1600 -  1699
0000888,anoniem,beeldhouwwerk,brons,1100 -  1200
0000889,anoniem,beeldhouwwerk,hout,1200 -  1400
0000890,anoniem,applique,ijzer,1700 -  1800
0000891,anoniem,beeldhouwwerk,brons,1700 -  1800
0000892,Shiao-hsiang,schildering,inkt,1800 -  1825
0000893,anoniem,doos,hout,1200 -  1300
0000894,anoniem,doos,lak,1300 -  1500
0000895,anoniem,doos,brons,1300 -  1600
0000896,anoniem,pot,steengoed,ca. 1600 - ca. 1699
0000897,anoniem,fles,celadon,918 -  1392
0000898,anoniem,theekom,aardewerk,1600 -  1699
0000899,,pot,aardewerk,1700 -  1799
0000900,Pillement Jean Baptiste,tekening,papier,1738 -  1806
0000901,anoniem,herenkleding,zijde,ca. 1600 - ca. 1699
0000902,Perroneau Jean Baptiste,tekening,papier,1770 -  1771
0000903,anoniem,herenkleding,zijde,1600 -  1699
0000904,Parrocel Charles,tekening,papier,1735 -  1745
0000905,Parrocel Charles,tekening,papier,1698 -  1752
0000906,Quillard Pierre Antoine,tekening,papier,1711 -  1733
0000907,Pater Jean Baptiste François,tekening,papier,1705 -  1736
0000908,Robert Hubert,tekening,papier,1754 -  1808
0000909,Robert Hubert,tekening,papier,1754 -  1808
0000910,Robert Hubert,tekening,papier,1754 -  1808
0000911,Robert Hubert,tekening,papier,1754 -  1808
0000912,Robert Hubert,tekening,papier,1754 -  1808
0000913,Robert Hubert,tekening,papier,1765 -  1765
0000914,Robert Hubert,tekening,papier,1760 -  1770
0000915,Restout Jean (II),tekening,papier,1702 -  1768
0000916,La Rose Jean Baptiste de,tekening,papier,1706 -  1740
0000917,Saint-Aubin Gabriel Jacques de,tekening,papier,1734 -  1780
0000918,Saint-Aubin Gabriel Jacques de,tekening,papier,1778 -  1780
0000919,anoniem,herenkleding,zijde,ca. 1785 - ca. 1790
0000920,Saint-Aubin Gabriel Jacques de,tekening,papier,1734 -  1780
0000921,Saint-Aubin Gabriel Jacques de,tekening,papier,1760 -  1780
0000922,Saint-Aubin Gabriel Jacques de,tekening,papier,1772 -  1774
0000923,Saint-Aubin Gabriel Jacques de,tekening,papier,1774 -  1775
0000924,Saint-Aubin Gabriel Jacques de,tekening,papier,1740 -  1840
0000925,Saint-Aubin Augustin de,tekening,papier,1746 -  1840
0000926,anoniem,textiel,zijde,1781 -  1789
0000927,anoniem,textiel,linnen,1781 -  1789
0000928,anoniem,textiel,zijde,1688 -  1703
0000929,anoniem,kamerscherm,papier,1700 -  1800
0000930,,kamerscherm,inkt,1675 -  1725
0000931,anoniem,scherm,inkt,1700 -  1800
0000932,anoniem,dekselvaas,porselein,ca. 1670 - ca. 1700
0000933,anoniem,scherm,papier,1600 -  1625
0000934,anoniem,doos,lak,1600 -  1699
0000935,anoniem,schildering,linnen,1700 -  1800
0000936,anoniem,votiefbeeld,klei,ca. 500 - ca. 600
0000937,anoniem,fles,porselein,ca. 1575 - ca. 1600
0000938,anoniem,vaas,porselein,ca. 1573 - ca. 1620
0000939,anoniem,fles,porselein,1640 -  1650
0000940,anoniem,fles,porselein,1600 -  1650
0000941,anoniem,kom,porselein,1600 -  1625
0000942,anoniem,kom,porselein,1600 -  1625
0000943,anoniem,kom,porselein,ca. 1600 - ca. 1650
0000944,anoniem,kom,porselein,1600 -  1625
0000945,anoniem,kom,porselein,ca. 1575 - ca. 1600
0000946,anoniem,bord (vaatwerk),porselein,1580 -  1620
0000947,anoniem,schaal (objectnaam),porselein,ca. 1630 - ca. 1640
0000948,anoniem,schotel,porselein,1635 -  1645
0000949,anoniem,schotel,porselein,1600 -  1625
0000950,anoniem,schotel,porselein,1600 -  1630
0000951,anoniem,pot,porselein,1575 -  1600
0000952,anoniem,kan,porselein,ca. 1635 - ca. 1640
0000953,anoniem,vaas,porselein,ca. 1680 - ca. 1700
0000954,anoniem,dekselvaas,porselein,ca. 1645 - ca. 1660
0000955,anoniem,,porselein,ca. 1640 - ca. 1645
0000956,anoniem,vaas,porselein,1635 -  1650
0000957,anoniem,vaas,porselein,1635 -  1650
0000958,anoniem,vaas,porselein,1635 -  1650
0000959,anoniem,vaas,porselein,1635 -  1650
0000960,anoniem,vaas,porselein,1635 -  1650
0000961,anoniem,vaas,porselein,1635 -  1650
0000962,anoniem,pot,porselein,ca. 1640 - ca. 1645
0000963,anoniem,vaas,porselein,ca. 1635 - ca. 1650
0000964,,vaas,porselein,ca. 1662 - ca. 1722
0000965,,vaas,porselein,1723 -  1735
0000966,anoniem,kom,porselein,ca. 1625 - ca. 1650
0000967,anoniem,kom,porselein,ca. 1700 - ca. 1722
0000968,,kom,porselein,1662 -  1722
0000969,,kom,porselein,ca. 1700 - ca. 1700
0000970,,kom,porselein,1662 -  1722
0000971,,kom,porselein,1662 -  1722
0000972,,kom,porselein,1662 -  1722
0000973,,kom,porselein,1662 -  1722
0000974,,kom,porselein,1662 -  1722
0000975,anoniem,kom,porselein,1680 -  1720
0000976,anoniem,theepot,porselein,ca. 1700 - ca. 1725
0000977,anoniem,theepot,porselein,ca. 1700 - ca. 1720
0000978,anoniem,vaas,porselein,ca. 1700 - ca. 1720
0000979,,kandelaar,porselein,1662 -  1722
0000980,,melkkan,porselein,1735 -  1795
0000981,anoniem,kwispedoor,porselein,ca. 1720 - ca. 1725
0000982,,fles,porselein,1735 -  1795
0000983,anoniem,fles,porselein,1690 -  1710
0000984,anoniem,vaas,porselein,1700 -  1720
0000985,,stoof,porselein,1736 -  1795
0000986,anoniem,kandelaar,porselein,1775 -  1800
0000987,,kan,porselein,1736 -  1795
0000988,,puntfles,porselein,1662 -  1722
0000989,,knobbelfles,porselein,ca. 1662 - ca. 1722
0000990,anoniem,puntfles,porselein,1700 -  1720
0000991,,theepot,porselein,1662 -  1722
0000992,anoniem,vaas,porselein,1700 -  1725
0000993,anoniem,knobbelfles,porselein,1662 -  1722
0000994,anoniem,vaas,porselein,1700 -  1725
0000995,anoniem,dekselpot,porselein,1700 -  1720
0000996,,vaas,porselein,1662 -  1722
0000997,,vaas,porselein,1662 -  1722
0000998,anoniem,vaas,porselein,1700 -  1720
0000999,anoniem,vaas,porselein,1700 -  1720
